"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN",,,,,,,,,,,,,
"Stock - Categorywise - FastMoving - Item 
 DATE : from 01-04-2024 11-09-2026 ; Location : All Location ; 
",,,,,,,,,,,,,
Item name,BRANDS,DEPARTMENT,CATEGORY,Item code,Branch,Total sold qty.,Item amount,Current stock,Branch ID,Alias Name,EAN code,Business Type,State
,Drools,Dog Food,Veg Food ,11362,URBAN PETS / MOTERA,"2,210","161,456.88",240,32772,,8906125486304,BRANCH,Gujarat
Moochie gravy Skin Coat  85gm,,,,,,"2,201","92,093.97",234,,,,,
,Moochie,Dog Food,Wet Food ,2216,URBAN PETS / MOTERA,"2,201","92,093.97",234,32772,,8857127462592,BRANCH,Gujarat
Drools Adult Gravy 60gm,,,,,,"2,173","29,848.43",61,,,,,
,Drools,Dog Food,Wet Food ,11281,URBAN PETS / MOTERA,"2,173","29,848.43",61,32772,,8906125485109,BRANCH,Gujarat
Moochie Gravy Digestive Care 85g,,,,,,"2,170","88,819.58",217,,,,,
,Moochie,Dog Food,Wet Food ,2217,URBAN PETS / MOTERA,"2,170","88,819.58",217,32772,,8857127462639,BRANCH,Gujarat
SH Gravy Chicken and Liver  Adult 80GM,,,,,,"2,162","75,704.56",166,,,,,
,Smart Heart,Dog Food,Wet Food ,6966,URBAN PETS / MOTERA,"2,162","75,704.56",166,32772,,8850477014336,BRANCH,Gujarat
Pedigree Puppy Chicken and Liver Gravy 130G,,,,,,"2,118","102,785.80",64,,,,,
,Pedigree,Dog Food,Wet Food ,11037,URBANPETS SERVICES PRIVATE LIMITED,"2,118","102,785.80",64,225,,8853301013345,DISTRIBUTION CENTER,Gujarat
Moochie Gravy Fit Firm 85g,,,,,,"2,105","89,853.65",187,,,,,
,Moochie,Dog Food,Wet Food ,2214,URBAN PETS / MOTERA,"2,105","89,853.65",187,32772,,8857127462615,BRANCH,Gujarat
INTAS NEOMEC 10 MG TABLET,,,,,,"2,030","20,084.60",50,,,,,
,Manufacturer,Medicine & Supplements ,Medicine ,2871,URBAN PETS / MOTERA,"2,030","20,084.60",50,32772,,,BRANCH,Gujarat
Cesar Adult Sasami 70G,,,,,,"2,014","116,154.67",14,,,,,
,Cesar,Dog Food,Wet Food ,2220,URBAN PETS / MOTERA,"2,014","116,154.67",14,32772,,4902397812500,BRANCH,Gujarat
Whiskas Tasty Mix chicken Salmon Wakame Seaweed Gravy 70g,,,,,,"1,976","78,708.29",100,,,,,
,Whiskas,Cat Food,Wet Food ,6777,URBAN PETS / MOTERA,"1,976","78,708.29",100,32772,,8853301004992,BRANCH,Gujarat
Maxi Adult Dog 500gm,,,,,,"1,903","107,926.56",0,,,,,
,Maxi,Dog Food,Dry Food ,11062,URBANPETS SERVICES PRIVATE LIMITED,"1,903","107,926.56",0,225,,8906125481484,DISTRIBUTION CENTER,Gujarat
Sava Ataxin 150mg,,,,,,"1,903","18,614.45",116,,,,,
,Sava Vet ,Medicine & Supplements ,Medicine ,7868,URBANPETS SERVICES PRIVATE LIMITED,"1,903","18,614.45",116,225,,8905045000508,DISTRIBUTION CENTER,Gujarat
Drools Veg 10KG,,,,,,"1,883","2,495,698.4",0,,,,,
,Drools,Dog Food,Veg Food ,10581,URBANPETS SERVICES PRIVATE LIMITED,"1,883","2,495,698.48",0,225,,8906125484348,DISTRIBUTION CENTER,Gujarat
Sheba Tuna Pumpkin and Carrot Garvy 70gm,,,,,,"1,840","95,507.91",7,,,,,
,Sheba,Cat Food,Wet Food ,6855,URBANPETS SERVICES PRIVATE LIMITED,"1,840","95,507.91",7,225,,8853301003223,DISTRIBUTION CENTER,Gujarat
Cesar Sasami and Vegetables 70G,,,,,,"1,799","106,891.05",0,,,,,
,Cesar,Dog Food,Wet Food ,1998,URBAN PETS / MOTERA,"1,799","106,891.05",0,32772,,4902397812586,BRANCH,Gujarat
Zippy Adult Gravy 85 Gm,,,,,,"1,762","65,556.25",387,,,,,
,Zippy,Dog Food,Wet Food ,11692,URBAN PETS / MOTERA,"1,762","65,556.25",387,32772,,8906168291774,BRANCH,Gujarat
Me-O Tuna In Jelly 80G,,,,,,"1,727","72,434.78",35,,,,,
,ME-O,Cat Food,Wet Food ,6800,URBAN PETS / MOTERA,"1,727","72,434.78",35,32772,,8850477017672,BRANCH,Gujarat
felix jelly tuna kitten 85gm,,,,,,"1,708","69,171.93",284,,,,,
,Felix ,Cat Food,Wet Food ,9822,URBAN PETS / MOTERA,"1,708","69,171.93",284,32772,,8850011072518,BRANCH,Gujarat
Drools Veg 500gm,,,,,,"1,701","107,592.02",1,,,,,
,Drools,Dog Food,Veg Food ,11362,URBANPETS SERVICES PRIVATE LIMITED,"1,701","107,592.02",1,225,,8906125486304,DISTRIBUTION CENTER,Gujarat
Moochie Gravy Weight Control 85g,,,,,,"1,650","66,658.19",250,,,,,
,Moochie,Dog Food,Wet Food ,10170,URBAN PETS / MOTERA,"1,650","66,658.19",250,32772,,8857127462622,BRANCH,Gujarat
Whiskas Tasty Mix kitten Chicken Tuna Sweet Potato Gravy 70gm,,,,,,"1,581","61,218.92",263,,,,,
,Whiskas,Cat Food,Wet Food ,11103,URBAN PETS / MOTERA,"1,581","61,218.92",263,32772,,8853301009355,BRANCH,Gujarat
Fido Munchy Sticks Chicken Flavour 1 KG,,,,,,"1,538","302,278.40",7,,,,,
,Fido,"Treats, Biscuits & Chews ",Treats  ,10904,URBAN PETS / MOTERA,"1,538","302,278.40",7,32772,,FDM10904,BRANCH,Gujarat
Hunger Tail Daily Munch 20 Kg,,,,,,"1,523","2,589,496.8",0,,,,,
,Hunger Tail,Dog Food,Dry Food ,11352,URBAN PETS / MOTERA,"1,523","2,589,496.83",0,32772,,8908024446182,BRANCH,Gujarat
Whiskas Ocean Fish adult Gravy 80G,,,,,,"1,518","59,989.33",151,,,,,
,Whiskas,Cat Food,Wet Food ,6767,URBAN PETS / MOTERA,"1,518","59,989.33",151,32772,,8853301550055,BRANCH,Gujarat
INTAS CEFPET XL TABLET,,,,,,"1,509","50,287.38",292,,,,,
,Hygiene,Medicine & Supplements ,Medicine ,2895,URBANPETS SERVICES PRIVATE LIMITED,"1,509","50,287.38",292,225,,,DISTRIBUTION CENTER,Gujarat
SH Gravy Roasted Duck 80 gm,,,,,,"1,492","51,506.45",17,,,,,
,Smart Heart,Dog Food,Wet Food ,6990,URBANPETS SERVICES PRIVATE LIMITED,"1,492","51,506.45",17,225,,8850477025226,DISTRIBUTION CENTER,Gujarat
Milbemax 12.5/125MG,,,,,,"1,489","301,701.64",267,,,,,
,other,Medicine & Supplements ,Medicine ,10238,URBANPETS SERVICES PRIVATE LIMITED,"1,489","301,701.64",267,225,,5420036979333,DISTRIBUTION CENTER,Gujarat
whiskas tasty mix kitten seafood cocktail carrot gravy 70 gm,,,,,,"1,455","56,161.01",102,,,,,
,Whiskas,Cat Food,Wet Food ,11360,URBAN PETS / MOTERA,"1,455","56,161.01",102,32772,,8853301009362,BRANCH,Gujarat
Cardiopet 2.5mg,,,,,,"1,433","76,184.00",58,,,,,
,Hygiene,Medicine & Supplements ,Medicine ,2938,URBANPETS SERVICES PRIVATE LIMITED,"1,433","76,184.00",58,225,,,DISTRIBUTION CENTER,Gujarat
WG WIGCLAV 250 MG,,,,,,"1,431","22,880.57",0,,,,,
,Manufacturer,Medicine & Supplements ,Medicine ,5987,URBANPETS SERVICES PRIVATE LIMITED,"1,431","22,880.57",0,225,,,DISTRIBUTION CENTER,Gujarat
Royal Canin Maxi Adult 140 gm,,,,,,"1,417","170,293.44",252,,,,,
,Royal Canin,Dog Food,Wet Food ,1686,URBAN PETS / MOTERA,"1,417","170,293.44",252,32772,,9003579008492,BRANCH,Gujarat
TTK Melobest Pet Tablet - 10s,,,,,,"1,410","12,531.60",5,,,,,
,Companion Pets,Medicine & Supplements ,Medicine ,3001,URBAN PETS / MOTERA,"1,410","12,531.60",5,32772,,,BRANCH,Gujarat
Sava Kiwof Plus Xl,,,,,,"1,402","80,507.50",174,,,,,
,Sava Vet ,Medicine & Supplements ,Medicine ,7859,URBANPETS SERVICES PRIVATE LIMITED,"1,402","80,507.50",174,225,,8905045002656,DISTRIBUTION CENTER,Gujarat
Emeset 2 ml Injection,,,,,,"1,381","11,648.19",100,,,,,
,Hygiene,Medicine & Supplements ,Medicine ,2889,URBANPETS SERVICES PRIVATE LIMITED,"1,381","11,648.19",100,225,,,DISTRIBUTION CENTER,Gujarat
Hepatate Tab,,,,,,"1,370","14,249.00",0,,,,,
,other,Medicine & Supplements ,Medicine ,10392,URBAN PETS / MOTERA,"1,370","14,249.00",0,32772,,,BRANCH,Gujarat
GN Calcium Milk Sticks 270Gms,,,,,,"1,357","350,002.81",36,,,,,
,Gnawlers,"Treats, Biscuits & Chews ",Treats  ,7515,URBAN PETS / MOTERA,"1,357","350,002.81",36,32772,,6942133306588,BRANCH,Gujarat
Sheba Fish With Sasami Gravy 35 Gm,,,,,,"1,355","49,776.85",133,,,,,
,Sheba,Cat Food,Wet Food ,842,URBAN PETS / MOTERA,"1,355","49,776.85",133,32772,,4902397848103,BRANCH,Gujarat
Royal Canin Kitten Gravy 85 gm,,,,,,"1,318","183,173.06",120,,,,,
,Royal Canin,Cat Food,Wet Food ,6794,URBAN PETS / MOTERA,"1,318","183,173.06",120,32772,,9003579308943,BRANCH,Gujarat
